類別,方案名稱,產品代碼,規格說明,單位,單價(NTD),是否為主打方案,備註
網站,官網維護,WEB-01,月度例行維護、內容更新、小幅樣式調整、備份,月,[待填],,不含大改版
Email 主方案,輕量版,MAIL-LITE,5GB 信箱 × 3 組,月,[待填],,適合個人工作室
Email 主方案,標準版,MAIL-STD,20GB 信箱 × 10 組、垃圾郵件過濾,月,[待填],主打,最常成交方案
Email 主方案,專業版,MAIL-PRO,50GB 信箱 × 30 組、進階過濾、獨立 SMTP,月,[待填],,中型公司適用
容量加購,小量,CAP-S,額外 10GB,月,[待填],,加購於主方案
容量加購,中量,CAP-M,額外 50GB,月,[待填],,加購於主方案
容量加購,海量,CAP-L,額外 200GB,月,[待填],,加購於主方案
別名服務,單個別名,ALIAS-01,一個別名地址、永久,月,[待填],,
別名服務,組合包,ALIAS-03,三個別名地址、永久,月,[待填],,比單買省
別名服務,時效性別名,ALIAS-T,指定時間內有效的別名、到期自動停用,次,[待填],,活動／短期使用
